Year Month;Region;Account Description;Product;Size;Size Numeric;Strength;WHO ATC 5 Code;Volume;Value;
201003;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;1;8083,55;
201006;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;1;8083,55;
201007;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;1;8083,55;
201011;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;2;16167,1;
201103;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;1;8406,89;
201103;Danmark diverse;0009 GROSSISTSALG;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;5;138080,55;
201105;Danmark diverse;0009 GROSSISTSALG;Remicade;1 htgl. a 100 mg;100;100 mg;L04AB02;1;4406,8;
201108;Danmark diverse;0009 GROSSISTSALG;Cimzia;2 stk.;2;200 mg;L04AB05;2;16167,1;
201109;Danmark diverse;0009 GROSSISTSALG;Remicade;1 htgl.;1;100 mg;L04AB02;3;13484,8;
201110;Danmark diverse;0009 GROSSISTSALG;Remicade;1 htgl.;1;100 mg;L04AB02;8;35254,4;
201201;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201204;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201207;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201208;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201209;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201210;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201301;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201303;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201304;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
201306;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;26397,75;
201307;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;52795,5;
201309;Midtjylland;0030 Viborg Svane apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;26397,75;
201803;Midtjylland;0030 Viborg Svane apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;24467;
201104;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201105;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;2;54149,24;
201105;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;1;27074,62;
201106;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;81223,86;
201107;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201108;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;2;54149,24;
201109;Midtjylland;0060 Århus Løve apotek;Stelara;1 stk.  (0,5 ml);1;45 mg;L04AC05;3;81223,86;
201110;Midtjylland;0060 Århus Løve apotek;Stelara;1  eng. spr. a 1 ml;1;90 mg;L04AC05;1;27074,62;
